fecha_hecho;cantidad;latitud;longitud;sexo;edad;estado_civil;medio_transporte;conducta;modalidad;conducta_especial;arma_medio;nombre_barrio;codigo_barrio;codigo_comuna;lugar;sede_receptora;bien;categoria_bien;grupo_bien;color;fecha_ingestion
7/03/2017 14:00;10;625728495;-7556880321;Mujer;33;Unión marital de hecho;Caminata;Hurto a persona;Descuido;Sin dato;No;Estación Villa;#1005;10;Institución de educación superior;Candelaria;Billetera;Prendas de vestir y accesorios;Mercancía;Bronce;6/03/2025 4:07
7/03/2017 21:30;10;625593994;-7558233645;Hombre;21;Soltero(a);Caminata;Hurto a persona;Descuido;Sin dato;No;Suramericana;#1102;11;Vía pública;Laureles;Bicicleta;Vehículos de 2 o 4 ruedas;Vehículo;Negro;6/03/2025 4:07
7/03/2017 14:00;10;625728495;-7556880321;Mujer;33;Unión marital de hecho;Caminata;Hurto a persona;Descuido;Sin dato;No;Estación Villa;#1005;10;Institución de educación superior;Candelaria;Tarjeta para computador;Tecnología;Mercancía;Blanco;6/03/2025 4:07
7/03/2017 7:00;10;62422152;-7557477918;Hombre;23;Soltero(a);Caminata;Hurto a persona;Atraco;Sin dato;Arma cortopunzante;Calle Nueva;#1011;10;Vía pública;Candelaria;Peso;Dinero, joyas, piedras preciosas y título valor;Mercancía;Sin dato;6/03/2025 4:07
7/03/2017 13:15;10;622923662;-7557420215;Mujer;58;Unión marital de hecho;Caminata;Hurto a persona;Cosquilleo;Sin dato;No;Barrio Colombia;#1401;14;Hospital o centro de salud;Poblado;Billetera;Prendas de vestir y accesorios;Mercancía;Sin dato;6/03/2025 4:07
7/03/2017 16:00;10;621687401;-7557085242;Mujer;30;Casado(a);Caminata;Hurto a persona;Descuido;No;No;Villa Carlota;#1403;14;Vehículo particular;Poblado;Sin dato electrodomésticos;Electrodomésticos;Mercancía;Sin dato;6/03/2025 4:07
7/03/2017 19:10;10;624952725;-755682932;Hombre;19;Soltero(a);Caminata;Hurto a persona;Atraco;De celular;Arma de fuego;La Candelaria;#1019;10;Vía pública;Candelaria;Celular;Tecnología;Mercancía;Sin dato;6/03/2025 4:07
7/03/2017 14:00;10;625728495;-7556880321;Mujer;33;Unión marital de hecho;Caminata;Hurto a persona;Descuido;Sin dato;No;Estación Villa;#1005;10;Institución de educación superior;Candelaria;Tarjeta para computador;Tecnología;Mercancía;Blanco;6/03/2025 4:07
7/03/2017 7:00;10;62422152;-7557477918;Hombre;23;Soltero(a);Caminata;Hurto a persona;Atraco;Sin dato;Arma cortopunzante;Calle Nueva;#1011;10;Vía pública;Candelaria;Celular;Tecnología;Mercancía;Sin dato;6/03/2025 4:07
7/03/2017 9:00;10;624517898;-7555908092;Hombre;32;Unión marital de hecho;Caminata;Hurto a persona;Atraco;De celular;Arma de fuego;Boston;#1016;10;Vía pública;Candelaria;Peso;Dinero, joyas, piedras preciosas y título valor;Mercancía;Sin dato;6/03/2025 4:07
7/03/2017 16:00;10;625129397;-7560651764;Hombre;48;Soltero(a);Caminata;Hurto a persona;Sin dato;No;No;La América;#1204;12;Vehículo particular;Laureles;Radio;Tecnología;Mercancía;Sin dato;6/03/2025 4:07
7/03/2017 21:30;10;62195831;-7558214452;Mujer;31;Unión marital de hecho;Caminata;Hurto a persona;Atraco;De celular;Arma de fuego;Santa Fé;#1504;15;Vía pública;Belén;Celular;Tecnología;Mercancía;Negro;6/03/2025 4:07
7/03/2017 16:00;10;62525817;-7556702223;Hombre;63;Casado(a);Caminata;Hurto a persona;Sin dato;No;No;La Candelaria;#1019;10;Vehículo particular;Candelaria;Tablet;Tecnología;Mercancía;Sin dato;6/03/2025 4:07
7/03/2017 13:20;10;626060985;-7558925538;Mujer;66;Viudo(a);Caminata;Hurto a persona;Descuido;No;No;Cuarta Brigada;#1115;11;Centro comercial;Laureles;Cédula;Documentos;Mercancía;Sin dato;6/03/2025 4:07
